date,shiba inu coin_unscaled,shiba inu coin_monthly,isPartial,scale,shiba inu coin
2020-11-14,0,0.0,,0.0,0.0
2020-11-15,96,0.0,False,0.0,0.0
2020-11-16,87,0.0,,0.0,0.0
2020-11-17,0,0.0,,0.0,0.0
2020-11-18,87,0.0,,0.0,0.0
2020-11-19,0,0.0,,0.0,0.0
2020-11-20,91,0.0,,0.0,0.0
2020-11-21,0,0.0,,0.0,0.0
2020-11-22,0,0.0,False,0.0,0.0
2020-11-23,0,0.0,,0.0,0.0
2020-11-24,0,0.0,,0.0,0.0
2020-11-25,0,0.0,,0.0,0.0
2020-11-26,0,0.0,,0.0,0.0
2020-11-27,0,0.0,,0.0,0.0
2020-11-28,0,0.0,,0.0,0.0
2020-11-29,94,0.0,False,0.0,0.0
2020-11-30,0,0.0,,0.0,0.0
2020-12-01,0,0.0,,0.0,0.0
2020-12-02,0,0.0,,0.0,0.0
2020-12-03,0,0.0,,0.0,0.0
2020-12-04,0,0.0,,0.0,0.0
2020-12-05,0,0.0,,0.0,0.0
2020-12-06,0,0.0,False,0.0,0.0
2020-12-07,0,0.0,,0.0,0.0
2020-12-08,0,0.0,,0.0,0.0
2020-12-09,0,0.0,,0.0,0.0
2020-12-10,0,0.0,,0.0,0.0
2020-12-11,0,0.0,,0.0,0.0
2020-12-12,0,0.0,,0.0,0.0
2020-12-13,0,0.0,False,0.0,0.0
2020-12-14,0,0.0,,0.0,0.0
2020-12-15,0,0.0,,0.0,0.0
2020-12-16,0,0.0,,0.0,0.0
2020-12-17,0,0.0,,0.0,0.0
2020-12-18,0,0.0,,0.0,0.0
2020-12-19,0,0.0,,0.0,0.0
2020-12-20,0,0.0,False,0.0,0.0
2020-12-21,84,0.0,,0.0,0.0
2020-12-22,0,0.0,,0.0,0.0
2020-12-23,0,0.0,,0.0,0.0
2020-12-24,0,0.0,,0.0,0.0
2020-12-25,100,0.0,,0.0,0.0
2020-12-26,0,0.0,,0.0,0.0
2020-12-27,0,0.0,False,0.0,0.0
2020-12-28,0,0.0,,0.0,0.0
2020-12-29,0,0.0,,0.0,0.0
2020-12-30,0,0.0,,0.0,0.0
2020-12-31,0,0.0,,0.0,0.0
2021-01-01,0,0.0,,0.0,0.0
2021-01-02,25,0.0,,0.0,0.0
2021-01-03,0,0.0,False,0.0,0.0
2021-01-04,0,0.0,,0.0,0.0
2021-01-05,0,0.0,,0.0,0.0
2021-01-06,0,0.0,,0.0,0.0
2021-01-07,0,0.0,,0.0,0.0
2021-01-08,0,0.0,,0.0,0.0
2021-01-09,24,0.0,,0.0,0.0
2021-01-10,0,0.0,False,0.0,0.0
2021-01-11,0,0.0,,0.0,0.0
2021-01-12,0,0.0,,0.0,0.0
2021-01-13,0,0.0,,0.0,0.0
2021-01-14,0,0.0,,0.0,0.0
2021-01-15,0,0.0,,0.0,0.0
2021-01-16,25,0.0,,0.0,0.0
2021-01-17,24,0.0,False,0.0,0.0
2021-01-18,22,0.0,,0.0,0.0
2021-01-19,0,0.0,,0.0,0.0
2021-01-20,0,0.0,,0.0,0.0
2021-01-21,0,0.0,,0.0,0.0
2021-01-22,0,0.0,,0.0,0.0
2021-01-23,25,0.0,,0.0,0.0
2021-01-24,49,0.0,False,0.0,0.0
2021-01-25,0,0.0,,0.0,0.0
2021-01-26,0,0.0,,0.0,0.0
2021-01-27,0,0.0,,0.0,0.0
2021-01-28,22,0.0,,0.0,0.0
2021-01-29,0,0.0,,0.0,0.0
2021-01-30,0,0.0,,0.0,0.0
2021-01-31,100,0.0,False,0.0,0.0
2021-02-01,0,0.0,,0.0,0.0
2021-02-02,66,0.0,,0.0,0.0
2021-02-03,100,0.0,,0.0,0.0
2021-02-04,66,0.0,,0.0,0.0
2021-02-05,0,0.0,,0.0,0.0
2021-02-06,0,0.0,,0.0,0.0
2021-02-07,36,0.0,False,0.0,0.0
2021-02-08,96,0.0,,0.0,0.0
2021-02-09,33,0.0,,0.0,0.0
2021-02-10,65,0.0,,0.0,0.0
2021-02-11,0,0.0,,0.0,0.0
2021-02-12,0,0.0,,0.0,0.0
2021-02-13,37,0.0,,0.0,0.0
2021-02-14,37,0.0,False,0.0,0.0
2021-02-15,33,0.0,,0.0,0.0
2021-02-16,33,0.0,,0.0,0.0
2021-02-17,0,0.0,,0.0,0.0
2021-02-18,0,0.0,,0.0,0.0
2021-02-19,0,0.0,,0.0,0.0
2021-02-20,0,0.0,,0.0,0.0
2021-02-21,0,0.0,False,0.0,0.0
2021-02-22,0,0.0,,0.0,0.0
2021-02-23,0,0.0,,0.0,0.0
2021-02-24,32,0.0,,0.0,0.0
2021-02-25,0,0.0,,0.0,0.0
2021-02-26,0,0.0,,0.0,0.0
2021-02-27,0,0.0,,0.0,0.0
2021-02-28,0,0.0,False,0.0,0.0
2021-03-01,20,0.0,,0.0,0.0
2021-03-02,0,0.0,,0.0,0.0
2021-03-03,10,0.0,,0.0,0.0
2021-03-04,10,0.0,,0.0,0.0
2021-03-05,0,0.0,,0.0,0.0
2021-03-06,0,0.0,,0.0,0.0
2021-03-07,0,0.0,False,0.0,0.0
2021-03-08,20,0.0,,0.0,0.0
2021-03-09,0,0.0,,0.0,0.0
2021-03-10,10,0.0,,0.0,0.0
2021-03-11,0,0.0,,0.0,0.0
2021-03-12,0,0.0,,0.0,0.0
2021-03-13,0,0.0,,0.0,0.0
2021-03-14,33,0.0,False,0.0,0.0
2021-03-15,100,0.0,,0.0,0.0
2021-03-16,51,0.0,,0.0,0.0
2021-03-17,30,0.0,,0.0,0.0
2021-03-18,10,0.0,,0.0,0.0
2021-03-19,10,0.0,,0.0,0.0
2021-03-20,34,0.0,,0.0,0.0
2021-03-21,69,0.0,False,0.0,0.0
2021-03-22,20,0.0,,0.0,0.0
2021-03-23,10,0.0,,0.0,0.0
2021-03-24,0,0.0,,0.0,0.0
2021-03-25,0,0.0,,0.0,0.0
2021-03-26,11,0.0,,0.0,0.0
2021-03-27,0,0.0,,0.0,0.0
2021-03-28,0,0.0,False,0.0,0.0
2021-03-29,10,0.0,,0.0,0.0
2021-03-30,11,0.0,,0.0,0.0
2021-03-31,11,0.0,,0.0,0.0
2021-04-01,2,0.0,,0.0,0.0
2021-04-02,0,0.0,,0.0,0.0
2021-04-03,2,0.0,,0.0,0.0
2021-04-04,0,0.0,False,0.0,0.0
2021-04-05,0,0.0,,0.0,0.0
2021-04-06,0,0.0,,0.0,0.0
2021-04-07,2,0.0,,0.0,0.0
2021-04-08,4,0.0,,0.0,0.0
2021-04-09,6,0.0,,0.0,0.0
2021-04-10,2,0.0,,0.0,0.0
2021-04-11,8,1.0,False,0.01,0.08
2021-04-12,4,1.0,,0.01,0.04
2021-04-13,4,1.0,,0.01,0.04
2021-04-14,11,1.0,,0.01,0.11
2021-04-15,6,1.0,,0.01,0.06
2021-04-16,36,1.0,,0.01,0.36
2021-04-17,100,1.0,,0.01,1.0
2021-04-18,41,3.0,False,0.03,1.23
2021-04-19,89,3.0,,0.03,2.67
2021-04-20,85,3.0,,0.03,2.55
2021-04-21,74,3.0,,0.03,2.2199999999999998
2021-04-22,44,3.0,,0.03,1.3199999999999998
2021-04-23,31,3.0,,0.03,0.9299999999999999
2021-04-24,40,3.0,,0.03,1.2
2021-04-25,16,1.0,False,0.01,0.16
2021-04-26,25,1.0,,0.01,0.25
2021-04-27,24,1.0,,0.01,0.24
2021-04-28,22,1.0,,0.01,0.22
2021-04-29,24,1.0,,0.01,0.24
2021-04-30,28,1.0,,0.01,0.28
2021-05-01,3,1.0,,0.01,0.03
2021-05-02,1,6.0,False,0.06,0.06
2021-05-03,1,6.0,,0.06,0.06
2021-05-04,2,6.0,,0.06,0.12
2021-05-05,2,6.0,,0.06,0.12
2021-05-06,2,6.0,,0.06,0.12
2021-05-07,5,6.0,,0.06,0.3
2021-05-08,40,6.0,,0.06,2.4
2021-05-09,55,59.0,False,0.59,32.449999999999996
2021-05-10,88,59.0,,0.59,51.919999999999995
2021-05-11,100,59.0,,0.59,59.0
2021-05-12,88,59.0,,0.59,51.919999999999995
2021-05-13,69,59.0,,0.59,40.71
2021-05-14,63,59.0,,0.59,37.169999999999995
2021-05-15,59,59.0,,0.59,34.809999999999995
2021-05-16,47,26.0,False,0.26,12.22
2021-05-17,51,26.0,,0.26,13.26
2021-05-18,36,26.0,,0.26,9.36
2021-05-19,35,26.0,,0.26,9.1
2021-05-20,32,26.0,,0.26,8.32
2021-05-21,26,26.0,,0.26,6.76
2021-05-22,22,26.0,,0.26,5.720000000000001
2021-05-23,25,15.0,False,0.15,3.75
2021-05-24,23,15.0,,0.15,3.4499999999999997
2021-05-25,26,15.0,,0.15,3.9
2021-05-26,21,15.0,,0.15,3.15
2021-05-27,15,15.0,,0.15,2.25
2021-05-28,16,15.0,,0.15,2.4
2021-05-29,17,15.0,,0.15,2.55
2021-05-30,19,14.0,False,0.14,2.66
2021-05-31,14,14.0,,0.14,1.9600000000000002
2021-06-01,70,14.0,,0.14,9.8
2021-06-02,96,14.0,,0.14,13.440000000000001
2021-06-03,73,14.0,,0.14,10.22
2021-06-04,62,14.0,,0.14,8.680000000000001
2021-06-05,58,14.0,,0.14,8.120000000000001
2021-06-06,64,10.0,False,0.1,6.4
2021-06-07,64,10.0,,0.1,6.4
2021-06-08,46,10.0,,0.1,4.6000000000000005
2021-06-09,49,10.0,,0.1,4.9
2021-06-10,50,10.0,,0.1,5.0
2021-06-11,38,10.0,,0.1,3.8000000000000003
2021-06-12,51,10.0,,0.1,5.1000000000000005
2021-06-13,47,12.0,False,0.12,5.64
2021-06-14,51,12.0,,0.12,6.12
2021-06-15,70,12.0,,0.12,8.4
2021-06-16,100,12.0,,0.12,12.0
2021-06-17,68,12.0,,0.12,8.16
2021-06-18,52,12.0,,0.12,6.24
2021-06-19,51,12.0,,0.12,6.12
2021-06-20,49,10.0,False,0.1,4.9
2021-06-21,54,10.0,,0.1,5.4
2021-06-22,43,10.0,,0.1,4.3
2021-06-23,38,10.0,,0.1,3.8000000000000003
2021-06-24,43,10.0,,0.1,4.3
2021-06-25,70,10.0,,0.1,7.0
2021-06-26,47,10.0,,0.1,4.7
2021-06-27,48,9.0,False,0.09,4.32
2021-06-28,68,9.0,,0.09,6.12
2021-06-29,72,9.0,,0.09,6.4799999999999995
2021-06-30,56,9.0,,0.09,5.04
2021-07-01,82,9.0,,0.09,7.38
2021-07-02,96,9.0,,0.09,8.64
2021-07-03,84,9.0,,0.09,7.56
2021-07-04,98,7.0,False,0.07,6.86
2021-07-05,94,7.0,,0.07,6.580000000000001
2021-07-06,100,7.0,,0.07,7.000000000000001
2021-07-07,78,7.0,,0.07,5.460000000000001
2021-07-08,87,7.0,,0.07,6.090000000000001
2021-07-09,78,7.0,,0.07,5.460000000000001
2021-07-10,83,7.0,,0.07,5.8100000000000005
2021-07-11,68,5.0,False,0.05,3.4000000000000004
2021-07-12,58,5.0,,0.05,2.9000000000000004
2021-07-13,46,5.0,,0.05,2.3000000000000003
2021-07-14,66,5.0,,0.05,3.3000000000000003
2021-07-15,49,5.0,,0.05,2.45
2021-07-16,45,5.0,,0.05,2.25
2021-07-17,54,5.0,,0.05,2.7
2021-07-18,70,4.0,False,0.04,2.8000000000000003
2021-07-19,60,4.0,,0.04,2.4
2021-07-20,61,4.0,,0.04,2.44
2021-07-21,65,4.0,,0.04,2.6
2021-07-22,43,4.0,,0.04,1.72
2021-07-23,36,4.0,,0.04,1.44
2021-07-24,47,4.0,,0.04,1.8800000000000001
2021-07-25,36,4.0,False,0.04,1.44
2021-07-26,61,4.0,,0.04,2.44
2021-07-27,40,4.0,,0.04,1.6
2021-07-28,52,4.0,,0.04,2.08
2021-07-29,49,4.0,,0.04,1.96
2021-07-30,61,4.0,,0.04,2.44
2021-07-31,50,4.0,,0.04,2.0
2021-08-01,50,5.0,False,0.05,2.5
2021-08-02,38,5.0,,0.05,1.9000000000000001
2021-08-03,27,5.0,,0.05,1.35
2021-08-04,50,5.0,,0.05,2.5
2021-08-05,39,5.0,,0.05,1.9500000000000002
2021-08-06,32,5.0,,0.05,1.6
2021-08-07,58,5.0,,0.05,2.9000000000000004
2021-08-08,90,7.0,False,0.07,6.300000000000001
2021-08-09,70,7.0,,0.07,4.9
2021-08-10,67,7.0,,0.07,4.69
2021-08-11,75,7.0,,0.07,5.250000000000001
2021-08-12,63,7.0,,0.07,4.41
2021-08-13,62,7.0,,0.07,4.340000000000001
2021-08-14,74,7.0,,0.07,5.180000000000001
2021-08-15,63,7.0,False,0.07,4.41
2021-08-16,100,7.0,,0.07,7.000000000000001
2021-08-17,81,7.0,,0.07,5.670000000000001
2021-08-18,78,7.0,,0.07,5.460000000000001
2021-08-19,52,7.0,,0.07,3.6400000000000006
2021-08-20,73,7.0,,0.07,5.11
2021-08-21,66,7.0,,0.07,4.62
2021-08-22,59,5.0,False,0.05,2.95
2021-08-23,66,5.0,,0.05,3.3000000000000003
2021-08-24,63,5.0,,0.05,3.1500000000000004
2021-08-25,47,5.0,,0.05,2.35
2021-08-26,47,5.0,,0.05,2.35
2021-08-27,35,5.0,,0.05,1.75
2021-08-28,53,5.0,,0.05,2.6500000000000004
2021-08-29,61,4.0,False,0.04,2.44
2021-08-30,45,4.0,,0.04,1.8
2021-08-31,50,4.0,,0.04,2.0
2021-09-01,25,4.0,,0.04,1.0
2021-09-02,28,4.0,,0.04,1.12
2021-09-03,27,4.0,,0.04,1.08
2021-09-04,28,4.0,,0.04,1.12
2021-09-05,26,6.0,False,0.06,1.56
2021-09-06,28,6.0,,0.06,1.68
2021-09-07,43,6.0,,0.06,2.58
2021-09-08,42,6.0,,0.06,2.52
2021-09-09,48,6.0,,0.06,2.88
2021-09-10,46,6.0,,0.06,2.76
2021-09-11,32,6.0,,0.06,1.92
2021-09-12,27,8.0,False,0.08,2.16
2021-09-13,29,8.0,,0.08,2.32
2021-09-14,24,8.0,,0.08,1.92
2021-09-15,25,8.0,,0.08,2.0
2021-09-16,62,8.0,,0.08,4.96
2021-09-17,100,8.0,,0.08,8.0
2021-09-18,62,8.0,,0.08,4.96
2021-09-19,49,7.0,False,0.07,3.43
2021-09-20,37,7.0,,0.07,2.5900000000000003
2021-09-21,36,7.0,,0.07,2.5200000000000005
2021-09-22,35,7.0,,0.07,2.45
2021-09-23,32,7.0,,0.07,2.24
2021-09-24,41,7.0,,0.07,2.87
2021-09-25,34,7.0,,0.07,2.3800000000000003
2021-09-26,24,4.0,False,0.04,0.96
2021-09-27,28,4.0,,0.04,1.12
2021-09-28,21,4.0,,0.04,0.84
2021-09-29,32,4.0,,0.04,1.28
2021-09-30,22,4.0,,0.04,0.88
2021-10-01,3,4.0,,0.04,0.12
2021-10-02,3,4.0,,0.04,0.12
2021-10-03,4,48.0,False,0.48,1.92
2021-10-04,14,48.0,,0.48,6.72
2021-10-05,27,48.0,,0.48,12.959999999999999
2021-10-06,37,48.0,,0.48,17.759999999999998
2021-10-07,49,48.0,,0.48,23.52
2021-10-08,25,48.0,,0.48,12.0
2021-10-09,19,48.0,,0.48,9.12
2021-10-10,15,25.0,False,0.25,3.75
2021-10-11,20,25.0,,0.25,5.0
2021-10-12,16,25.0,,0.25,4.0
2021-10-13,13,25.0,,0.25,3.25
2021-10-14,13,25.0,,0.25,3.25
2021-10-15,11,25.0,,0.25,2.75
2021-10-16,9,25.0,,0.25,2.25
2021-10-17,10,20.0,False,0.2,2.0
2021-10-18,14,20.0,,0.2,2.8000000000000003
2021-10-19,11,20.0,,0.2,2.2
2021-10-20,10,20.0,,0.2,2.0
2021-10-21,11,20.0,,0.2,2.2
2021-10-22,10,20.0,,0.2,2.0
2021-10-23,14,20.0,,0.2,2.8000000000000003
2021-10-24,41,100.0,False,1.0,41.0
2021-10-25,30,100.0,,1.0,30.0
2021-10-26,40,100.0,,1.0,40.0
2021-10-27,91,100.0,,1.0,91.0
2021-10-28,100,100.0,,1.0,100.0
2021-10-29,52,100.0,,1.0,52.0
2021-10-30,39,100.0,,1.0,39.0
2021-10-31,33,54.0,False,0.54,17.82
2021-11-01,100,54.0,,0.54,54.0
2021-11-02,84,54.0,,0.54,45.36
2021-11-03,77,54.0,,0.54,41.580000000000005
2021-11-04,97,54.0,,0.54,52.38
2021-11-05,71,54.0,,0.54,38.34
2021-11-06,62,54.0,,0.54,33.480000000000004
2021-11-07,47,27.0,False,0.27,12.690000000000001
2021-11-08,48,27.0,,0.27,12.96
2021-11-09,48,27.0,,0.27,12.96
2021-11-10,41,27.0,,0.27,11.07
2021-11-11,41,27.0,,0.27,11.07
2021-11-12,39,27.0,,0.27,10.530000000000001
2021-11-13,39,27.0,,0.27,10.530000000000001
2021-11-14,28,19.0,False,0.19,5.32
2021-11-15,33,19.0,,0.19,6.2700000000000005
2021-11-16,31,19.0,,0.19,5.89
2021-11-17,29,19.0,,0.19,5.51
2021-11-18,30,19.0,,0.19,5.7
2021-11-19,31,19.0,,0.19,5.89
2021-11-20,28,19.0,,0.19,5.32
2021-11-21,28,16.0,False,0.16,4.48
2021-11-22,25,16.0,,0.16,4.0
2021-11-23,24,16.0,,0.16,3.84
2021-11-24,28,16.0,,0.16,4.48
2021-11-25,22,16.0,,0.16,3.52
2021-11-26,23,16.0,,0.16,3.68
2021-11-27,19,16.0,,0.16,3.04
2021-11-28,20,17.0,False,0.17,3.4000000000000004
2021-11-29,25,17.0,,0.17,4.25
2021-11-30,45,17.0,,0.17,7.65
2021-12-01,100,17.0,,0.17,17.0
2021-12-02,89,17.0,,0.17,15.13
2021-12-03,79,17.0,,0.17,13.430000000000001
2021-12-04,81,17.0,,0.17,13.770000000000001
2021-12-05,75,12.0,False,0.12,9.0
2021-12-06,89,12.0,,0.12,10.68
2021-12-07,98,12.0,,0.12,11.76
2021-12-08,73,12.0,,0.12,8.76
2021-12-09,68,12.0,,0.12,8.16
2021-12-10,65,12.0,,0.12,7.8
2021-12-11,72,12.0,,0.12,8.64
2021-12-12,63,11.0,False,0.11,6.93
2021-12-13,66,11.0,,0.11,7.26
2021-12-14,63,11.0,,0.11,6.93
2021-12-15,73,11.0,,0.11,8.03
2021-12-16,56,11.0,,0.11,6.16
2021-12-17,59,11.0,,0.11,6.49
2021-12-18,53,11.0,,0.11,5.83
2021-12-19,64,12.0,False,0.12,7.68
2021-12-20,67,12.0,,0.12,8.04
2021-12-21,65,12.0,,0.12,7.8
2021-12-22,73,12.0,,0.12,8.76
2021-12-23,76,12.0,,0.12,9.12
2021-12-24,84,12.0,,0.12,10.08
2021-12-25,65,12.0,,0.12,7.8
2021-12-26,71,10.0,False,0.1,7.1000000000000005
2021-12-27,71,10.0,,0.1,7.1000000000000005
2021-12-28,62,10.0,,0.1,6.2
2021-12-29,60,10.0,,0.1,6.0
2021-12-30,54,10.0,,0.1,5.4
2021-12-31,60,10.0,,0.1,6.0
2022-01-01,74,10.0,,0.1,7.4
2022-01-02,97,9.0,False,0.09,8.73
2022-01-03,77,9.0,,0.09,6.93
2022-01-04,100,9.0,,0.09,9.0
2022-01-05,90,9.0,,0.09,8.1
2022-01-06,74,9.0,,0.09,6.66
2022-01-07,77,9.0,,0.09,6.93
2022-01-08,75,9.0,,0.09,6.75
2022-01-09,80,8.0,False,0.08,6.4
2022-01-10,68,8.0,,0.08,5.44
2022-01-11,80,8.0,,0.08,6.4
2022-01-12,87,8.0,,0.08,6.96
2022-01-13,89,8.0,,0.08,7.12
2022-01-14,85,8.0,,0.08,6.8
2022-01-15,78,8.0,,0.08,6.24
2022-01-16,69,7.0,False,0.07,4.83
2022-01-17,59,7.0,,0.07,4.130000000000001
2022-01-18,60,7.0,,0.07,4.2
2022-01-19,55,7.0,,0.07,3.8500000000000005
2022-01-20,63,7.0,,0.07,4.41
2022-01-21,71,7.0,,0.07,4.970000000000001
2022-01-22,93,7.0,,0.07,6.510000000000001
2022-01-23,79,7.0,False,0.07,5.53
2022-01-24,87,7.0,,0.07,6.090000000000001
2022-01-25,73,7.0,,0.07,5.11
2022-01-26,68,7.0,,0.07,4.760000000000001
2022-01-27,61,7.0,,0.07,4.2700000000000005
2022-01-28,65,7.0,,0.07,4.550000000000001
2022-01-29,60,7.0,,0.07,4.2
2022-01-30,51,6.0,True,0.06,3.06
2022-01-31,47,6.0,,0.06,2.82
2022-02-01,94,6.0,,0.06,5.64
2022-02-02,100,6.0,,0.06,6.0
2022-02-03,76,6.0,,0.06,4.56
2022-02-04,96,6.0,,0.06,5.76
